Index,Term,Definition
8544,riflekta,Reflector.
8545,rifotma,"Reform, make better, correct."
8546,rifotmatoriu,Reformatory.
8547,rifresko,"Refresh, freshen up, replenish, renovate."
8548,rikesa,"Wealth, affluence, riches."
8549,rikohi,"Gather, collect, assemble, convene, congregate, bring together. Also rikoi"
8550,rikohida,"Enrollment, enlistment, registration, registry, entry."
8551,rikonisa,Acknowledge.
8552,rikonosi,"Investigate, search, inquire, examine closely, scan, sift, probe, reconnoiter."
8553,rikonosimento,"Inspection, sanitation inspection."
8554,riku,"Rich, wealthy, affluent, opulent."
8555,rikuesta,"Request, solicit, ask, entreat, make application, supplicate, implore."
8556,rikuetdo,"Token, souvenir, remembrance, collection, keepsake."
8557,rilihion,Religion.
8558,rilihiosu,Religious. (m) Also rilihiosa (f).
8559,rilihon,Religion. Also rilihion.
8560,rimacha,Rivet.
8561,rimachi,Rivet. (S)
8562,rimata,"Kick out, chase away, put to flight, cause to depart by threatening or molesting, to finish, to completely destroy or ruin."
8563,rimati,"Abolish, revoke, repeal approval, countermand. ®"
8564,rimiti,Remit.
8565,rimotke,"Remove, dump, get rid of, throw away."
8566,rimulinu,"noun. tornado, whirl, twirl, whirlwind, whirlpool, waterspout."
8567,rimulinu,"noun. Cowlick, crown (of the head), a place on the head where the hair grows in a whirl pattern."
8568,rinaya,"Etch, engrave--by using acid."
8569,rinefresko,Refreshment.
8570,rinibaha,"Reduction, state of being reduced, shortening, depression, diminution."
8571,rinisibi,"Receipt, acceptance."
8572,rinkon,"Corner, edge."
8573,rinola,"noun. urinal; chamber pot. Also, linola."
8574,ripara,"Notice, be aware, take notice, be cognizant, observe, check on."
8575,ripasa,"Weeding, weed out (grass), remove weeds from a cultivated area."
8576,ripasa,"To review, go over again, re-examine."
8577,ripiti,"Repeat, say again."
8578,ripotte,"Report, notify, make known, announcement."
8579,ripoyu,noun. cabbage -- type of vegetable; head cabbage.
8580,ripresta,"Answer, respond."
8581,risain,Resign.
8582,risaki,Receding wave--from the shore. Used to describe the receding movement of a wave on the shore.
8583,riseta,"Listen to heartbeat with stethoscope, medical check-up."
8584,risetba,"Reserve, make a reservation."
8585,risibi,"Receive, accept."
8586,risibu,"Receipt, invoice."
8587,risidensia,"Residence, the place where one actually has his home."
8588,risiembra,Replace seed or plant that failed to survive.
8589,risikna,"Resign, withdraw."
8590,ritachi,Ricochet.
8591,ritasos,"Shred, piece, fragment, remnant."
8592,ritira,"Dismiss, return (something), retire, retreat, chase away, withdraw."
8593,ritirada,"Dismissal, adjournment, liberty to depart, permission to go, return, way back."
8594,ritirao,adjective. retired; no longer working.
8595,ritiru,Retirement.
8596,ritumbo,"Vibration (caused by loud noise), oscillation, echo, resonance."
8597,riuma,"Rheumatism. Also ruma, reuma."
8598,riñon,Kidney.
8599,rodo',Type of chicken-Rhode Island red.
8600,Roma,Rome.
8601,rora',"Roller, a heavy vehicle used to smooth or harden the surface of the ground. (S)"
8602,rosa,Type of flower-hibiscus.
8603,rosat,Type of flower-rose.
8604,roseli,Type of plant-hibiscus sabdariffa.
8605,roskas,Type of bread--toasted until it becomes crisp. Sometimes twisted like a roll.
8606,rosko,noun. the Chamorro bread-like pastry.
8607,Rota,Rota Island.
8608,royon tali,Coil of rope.
8609,royu,"verb. to roll up, enwrap, roll, scroll."
8610,rubentason,Reef-deep outer part. Deep water--beyond the reef.
8611,rubetbet,"noun. pistol, revolver."
8612,rueda,"Wheel, tire, rim, cockpit."
8613,ruidu,"Roar, thunder, loud noise. Also ridu."
8614,rula,Ruler--measuring stick.
8615,ruma,Rheumatism. (Rota) Also mamuten tataotao.
8616,rumbo,"noun. course; journey, voyage, trip, travel."
8617,rumekla,verb. to menstruate.
8618,rumot,"Rumor, current story."
8619,Rusia,Russia.
8620,sa',Because; because of; on account of; due to the fact.
8621,sa' håfa,Why.
8622,sa'ang,"Put--something on something; place--something on something, usually used when one is placing something out of the way for protection. (Rota) Also sa'hang. "
8623,sa'dang,Straddle; astraddle; with one leg on each side; in a straddling position. Has strong sexual connotations.
8624,sa'hang,Put; place; shelve; perch. Also sa'ang.
8625,så'pet,Exhause; overwork; overtask; laborious; cause to suffer.
8626,Såbålu,Saturday.
8627,såbåna,Mountain; hilly area; plain--usually covered with swordgrass.
8628,såbånas,Blanket; lining; spread; padding; bed sheet. (Primary stress on the first syllable)
8629,såbåneta,Plain; small field; prairie; meadow; savana; treeless place or country.
8630,såbåte',Kick. (Saipan) Also påtek.
8631,sabes,adjective. to be familiar with (something); to be knowledgeable about (something); to be savvy in an area of knowledge.
8632,sabidios,"""God knows."" Used "
8633,såbio,Clairvoyant; perspicacious; clairvoyance; perspicacity. (Primary stress on the first syllable).
8634,såbot,Taste of; flavor. (Primary stress on last syllable)
8635,sådda',"Lift up; lift form the bottoms something that is hanging, such as curtains or a skirt, for the purpose of seeing what is beneath."
8636,sådde,Hold on lap; place on thighs; place on lap. Also såtde'.
8637,såddok,noun. river; stream; brook.
8638,såde',Put diaper on; wear a loin cloth.
8639,såde',Diaper; loin cloth; sanitary napkin.
8640,såde'gåni,Shack; hut; cabin. 
8641,såde'guåni,Typhoon shelter. Usually an A-frame construction with lower part of the roof buried underground. Also såde'gåni.
8642,såffe,To dust; brush.
8643,såffe,Duster; brush.
8644,såfo',Safe; protected.
8645,såfu,Take off (hat); remove; doff. (Rota)
8646,såga,v. to stay; to rest; to dwell; to remain; to reside. n. a place to stay; a place for something.
8647,sagamai,Gnat. (Primary stress on the first syllable)
8648,sågåmilon,Type of fish--family holocentridae. General name for several types of squirrel fish and soldier fish. (Primary stress on the 3rd to last syllable)
8649,sågan,Place for (something. From såga.
8650,sågan åpu,Ash tray; place for ashes.
8651,sågan basula,Trash can; dump; garbage can; waste basket; place for trash.
8652,sågan mama'tinas,Kitchen; cooking place.
8653,sågan otpos,Ash tray.
8654,sågåyi,Colonize; settle; inhabit.
8655,sage',Painful; pain; affect with pain; burning sensation.
8656,såggue',Pull; haul; drag; tug; draw.
8657,sågrådu,Sacred; holy; consecrated; sanctified; blessed; purified.
8658,sågu,Bad cold; runny nose; influenza; epidemic.
8659,sågu,Type of plant--maranta arundinacea.
8660,sågu,"Season for--fishing, crabs, hunting, etc. Usually refers to the time when a large group of fish is making a run."
8661,sågua',Channel; inlet--of water; canal; narrow passage of water breaking the reef barrier.
8662,såguåle',Thatched house; usually made with karisu.
8663,såguan,Help--in fighting; to join someones side in a fight.
8664,såguat,Tenacious; persistent.
8665,såguat,Insolent; shameless.
8666,sågue',Help; aid; assist; succour; promote; support; be of use; avail; profit; do good to; remedy; deliver. Used especially in prayers.
8667,såha,Whittle; slice; as if peeling skin.
8668,såhågu,Deep water.
8669,sahguan,Put in; place in; container.
8670,sahguåni,Put in (something) for; place in (something) for.
8671,såhi,Waxing--of the moon.
8672,sahnge,Strange; unusual; peculiar; abnormal.
8673,såhsa,Brush away. 
8674,såhuma,Inhale vapor--usually for asthma or to clear nasal passages.
8675,såhyan,verb. set table; put the food on the table.
8676,såhyan,noun. automobile; small vehicle; jeep; sedan; car.
8677,såhyao,Speedy; quick; fast; speed; hurried; hurry. Also såyao.
8678,saibok,"Boil starchy food; starchy food--boiled, such as taro, bananas, breadfruit. (Used mainly in the Northern Marianas)"
8679,saigon,Type of chicken--red pyle game. Also siamo'. (Primary stress on the last syllable).
8680,saina,"noun. 1) parent, elder. 2) Lord, master, supreme-being."
8681,Saipan,"Saipan, the second largest island of the Marianas chain. Pronounced sa'ipan."
8682,sais,Six.
8683,saisio,"Call given by odds-maker at cockfight to indicate the cock against which odds are being given. Also saisiot, a form of English ""this side short""."
8684,saisiot,"Call given by odds-maker at cockfight to indicate the cock against which odds are being given. Also saisio a form of English ""this side short""."
8685,såka,Liberate; free.
8686,såkadatche',Somersault; somerset; turn head over heals; upside down position. (Saipan)
8687,såkafåkteru,Braggart; one who publicized the favors he did for others. (Rota) Also såkafåtteru.
8688,såkapiku,Pick (tool). 
8689,såkåt,Sadistic; cruel; merciless; desposed to give pain to others; one that likes to hurt others. (Saipan)
8690,såkåti,Hay; forage.
8691,såkkan,Year; season--for planting or harvesting.
8692,såkke,Steal; rob.
8693,sakke,Thief; robber; stealer; burglar. 
8694,sakman,"Large canoe--from Polynesia or Papua, no outrigger, capable of carrying over 100 people."
8695,såkmoneten åcho',Type of fish--parupeneus trifasciatus (family mullidae). Goatfishes. Also såkmonete åcho'.
8696,såkmoneten le'ao,Type of fish--upeneus vittatus (family mullidae). Goatfish.
8697,såkmoneten maninen,Type of fish--mulloidichthys auriflamma (family muliae) Goatfish.
8698,såkmoneti,Type of fish (family mullidae). Goatfish. (Rota) Also såtmoneti.
8699,sakne,Tattle-tale; gossiper.
8700,sakngan,Mentionable; gossiper; talkative person.
8701,såkråmento,Sacrament.
8702,såkrestan,Sacristion; one in charge of sacristy.
8703,såkrifisia,Sacrifice; make a sacrifice or offering; offer up.
8704,såkrifisiu,Sacrifice; relinquishment; offering.
8705,såkrilehu,Sacrilege; commiting an act by stealing sacred things or desecrating that which is sacred. Also såkrilehiu.
8706,såkristia,Sacristy; vestry.
8707,såksåk,Type of fish--holocentrus tierra (holocentridae).
8708,såksåk sumulo',Type of fish--family holocentridae. Snapper; squirrel fish.
8709,såku,Coat; jacket; suit; overcoat.
8710,såkudi,verb. 1) to spank; to whip. 2) to try or attempt something (informal).
8711,såkutåssu,Spank; whip.
8712,såla,Living room; sitting room; hall.
8713,såla',Late; far gone; incurable.
8714,sålåmånka,Outwit; outmaneuver; trick; fool; get the better of by superior ingenuity or cleverness.
8715,sålåmånka,Trick; snare; trickster.
8716,sålåmånka,Tripped; fall down as one loses his balance; somersault.
8717,sålang,"Type of mollusk--genus limax. Slug--lang; any of numerous terrestrial pulmonate gastropods related to land snails, but entirely lacking ofshell; slug--salt water, having its shell rudimentary and buried in the mantle. Also tagula."
8718,sålåpe',noun. money; currency; silver (as a form of money).
8719,sålåsa,Shallow water--just outside the reef. (Rota)
8720,såli,"Type of bird--aplonis opacus guami. Micronesia startling, all black."
8721,såli,Black people (?)
8722,sålibao,"Whack at; swat at; wave away; slap at. (Rota) Also yålibao, yabbao."
8723,sålida,Wave action--lull in wave action near channel or rocky shore.
8724,såligai,Type of fish--gnathodentex aureolineatus (family lutjanidae). Snappers.
8725,såligao,Centipede.
8726,sålinas,Saltern; a place where salt is made.
8727,sålon,Salon; saloon; bar. (Primary stress on the last syllable)
8728,såluda,Salute; bow; greet; welcome; give respect; show respect.
8729,såludu,Salute; respect; greeting; bow; salutation; address of welcome.
8730,sålut,Health; condition of health. (Primary stress on the last syllable)
8731,Såmåritånu,Samaritan; a native or inhabitant of Samaria.
8732,såmbo,Knock-kneed; a person whose knees are turned in; pigeon-toed.
8733,såmpagita,Type of plant--jasminum sambac. A type of flower. Also såmpakita.
8734,såmpakita,Type of plant--jasminum sambac. A type of flower. Also såmpagita.
8735,san,Saint (male). Also sånto.
8736,San Ignåsio,Type of insect--coleptera buprestidae. Beetle--wood boring.
8737,San Roque,"San Roque, a village located at the northern part of Saipan."
8738,san-,Directional prefix--used with locatives.
8739,sånban,Type of plant--donaxarundiformis.
8740,såncho,Hoop.
8741,såndalias,Sandal; slipper; open shoe; lounging shoe.
8742,sångan,verb. 1.) to say; to speak; to utter. 2.) Fig. to talk about someone; to gossip about someone.
8743,sångåni,Say--to someone; tell (something) to someone; speak--to someone; utter towards.
8744,sångåniyi,Interpret; explain; translate; tell for; speak on behalf of another.
8745,sånggånu,Loafer; unindustrious person; dissolute; licentious. (Primary stress on the first syllable)
8746,sånggra,Tap (blood); drain; let blood; bleed (something).
8747,sanhalom,Inside; interior; internal; in; into.
8748,sanhilo',Top position; on top of; above.
8749,sanhiyong,Outside; the external; the outer part; exterior of.
8750,sånkaron,"Boney; boney parts of an animal such as chicken wings, back, etc.; meat scraps--of fish or meat; gristle. (Primary stress on the last syallable)"
8751,sanlagu,noun. 1) any place overseas; foreign land. 2) America.
8752,sånta,Saint (female). Also sånto (male).
8753,Sånta Åna,Type of plant--jatropha multifida. A type of grass.
8754,Sånta Mådre I Ekglesia,Christ; curia romana; the body of congregation through which the Pope governs the Roman Catholic Church; Holy Mother.
8755,Sånta Rita,Village in central Guam.
8756,sånta',Comical; funny; humorous person; funny man.
8757,såntån,Type of plant--jatropha multifida. A type of grass. Another name for Sånta Åna. (Primary stress on the last syllable)
8758,santatte,Back side of; back of; behind.
8759,såntifika,Sanctify; make holy or sacred.
8760,Såntisima Trinidåt,Holy Trinity. (Primary stress of Trinidåt is on the last syllable)
8761,såntisimu,Monstrance; vessel in which the consecrate host is exposed to receive the veneration of the faithful.
8762,sånto,Holy; saint (male). Also sånta (female).
8763,Sånto Påpa,Pope.
8764,såntolon,Pious; holy person; saint; religious person; devotee (male). (Primary stress on the last syllable)
8765,såntolona,Pious; holy person; saint; religious person; devotee (female). 
8766,såntos,Saints.
8767,såntos olios,Holy oil; extreme unction--the sacrament administered by a priest to one in danger of death.
8768,såntot,Type of plant--sandoricum koetjape. A type of tree. (Primary stress on the last syllable)
8769,sånye'ye',Spider; small spider.
8770,saoåra',"Type of fish--istiophorus genus. Sailfish, having teeth, scales, and a very large dorsal fin; sword fish."
8771,saolak,verb. to spank; whip. 
8772,saonao,Involve; be involved; included; join; participate.
8773,saosao,"verb. to wipe clean; to clean by rubbing lightly with a cloth.
noun. the act of wiping; cloth used for wiping things clean."
8774,saosao mågågu,Ironing cloth; damp cloth used to dampen fabric before ironing.
8775,såpåteru,Shoemaker; one who makes shoes.
8776,såpåtiya,Small shoes; slippers.
8777,såpåtos,Shoes; boots.
8778,såpblåsos,Beat up; wallop; knock down; hit; smack; slug; vanquish; torture; spank; whip.
8779,såpble,Sword; rapier; saber; scimitar.
8780,sapisapi,Type of kite.
8781,såpo',"Seedling--of leafy plant, such as young vegetable plant, young tobacco plant, or young weeds."
8782,sappe,Go away; scat--when addressing a cat.
8783,såragåti,Clobber; beat mercilessly; defeat overwhelmingly. (Saipan)
8784,sårågåti,A useless rascal; an unworthy person. Also sårågåtte.
8785,sårågåtte,Rogue; rascal; witty person; sly. Also sårågåti.
8786,sårånggola,Type of kite; fighting kite.
8787,sårento,"Sargeant; a rank in the armed forces, police force, etc."
8788,sårento,"Athlete's foot; type fo fungus, ringword of the foot."
8789,Såriguan,"Sariguan, the second island north of Saipan."
8790,såro',Monkey; ape; chimpanzee. (Saipan)
8791,såromata',Panties; underpants (woman). (Saipan)
8792,sårukang,Swivel; turning link in a chain. (Saipan)
8793,sasa',Spread apart; open up legs by spreading apart.
8794,såsålåguan,Hell--the place or state of punishment for wicket after death. Name of a mountain in Guam.
8795,sasata,Wasp.
8796,sasåtba,Savior.
8797,såse',Ruler (for measurement); measuring stick. (Saipan). Also rula.
8798,såsetdoti,Student priest.
8799,såsime',Sashimi; slaiced fish--raw.
8800,sasngat,Type of bird--megpodius laperousei. Micronesian.
8801,såssa,"Brush away (with hand); to clean or clear a spot by slow, gentle movement of hand or object; to dust; to clear away."
8802,såssa,"Type of food, liver--preparing; chopped liver. (Rota)"
8803,såssa,Type of fish.
8804,såstre,Tailor; seamstress.
8805,såta,Type of fish--ctenochaetus striatus (acanthuridae). Called oda' in Rota.
8806,såtan åpåka' dadalak-ña,"Type of fish--acanthurus glaucpareius (acanthuridae). Simiar to såta, but has a white tail. Literally: Såta-white-tail."
8807,såtånås,Devil; satan. (Primary stress on the last syllable)
8808,såtba,Save; make safe; rescue or deliver from danger; safeguard.
8809,såtbåbida,Life jacket; life bouy; lifesaver.
8810,såtbådot,Savior; rescuer; redeemer; deliverer; freer; protector. (Primary stress is on the last syllable)
8811,såtbåhi,Rascal; savage; wild.
8812,såtbasion,Salvation.
8813,såtbåyones,"Athlete's foot; type fo fungus, ringword of the foot."
8814,såtdinas,Sardine.
8815,såten,Satin. (Primary stress on the last syllable)
8816,såtge,Install a floor.
8817,såtge,Floor; platform.
8818,såtisfecho,Satisfied; contented; appeased the desire of.
8819,såtmon,Type of fish--salmo salar (family salmonidae). Salmon. (Primary stress is on the last syllable)
8820,såtmoneti,Type of fish--(family mullidae). Goatfishes. Also såkmoneti.
8821,såtmuera,noun. salted fish; salted meat.
8822,såtna,Rash; having sores all over the body.
8823,såtnot,Hit on the shin-bone.
8824,såtnot,Shin; front part of the lower leg.
8825,såtpa,Burn; parch the ground; squander.
8826,såtpe,Sow; sprinkle; slang for go ahead; okay.
8827,såtpon,Blowing rain--into a house or shelter; spray.
8828,såtpuyidos,"Skin rash, accompanied by itchiness of the skin."
8829,såtsa,Sauce; catsup; gravy; salsa. (Guam)
8830,såttea,Sort; place in order here and there as in planting seeds.
8831,såtten,Pot; pan. 
8832,såyåfi,Type of plant--melochia.
8833,såyaihagon,"Type of plant--nervilia aragoana. A type of grass, terrestrial orchid."
8834,se,C--let of the alphabet. Also che.
8835,se'pe,Snack; eat a quick snack.
8836,se'se',Cut (with a knife).
8837,se'se',Knife.
8838,se'se' kubetto,Knife (table). Also se'se' kubietto.
8839,se'se' kubietto,Knife (table). Also se'se' kubetto.
8840,se'yon,Weakened back--by hauling something heavy; having a weak back; strained back.
8841,seba,Give abundantly; raise abundantly; give lots of goodies; fatten up.
8842,sebu,Fat; grease; lard; tallow; adipose tissue.
8843,seda,Type of plant--morus alba. Silk tree.
8844,seda,"Silk, type of cloth."
8845,sedi,Allow; let; approve of; sanction; concede; permit; consent.
8846,sedulas,I.D. card; credentials; identity book.
8847,segondåriu,Second hand--on watch or clock.
8848,seha,Back off; back up; go backward; back down.
8849,sehas,Eyebrow; brow.
8850,sekpåpå'i,Undermine; indirect interrogation.
8851,seku,Sock; punch; hit with the fist; strike with the fist.
8852,seladura,Lock. Also seradura.
8853,seluloit,Celluloid; plexiglass. (Guam)
8854,Semo,"July. Also Julio, Hulio"
8855,sen,Extremely; very; greatly; intensifying word.
8856,sena,Dinner; supper.
8857,senådot,Senator. (Primary stress is on the last syllable)
8858,senådu,Senate--upper branch of the bicameral legislature.
8859,senko,noun. mosquito coil; anti-mosquito incense. (Saipan)
8860,sensen,Meat; flesh; any kind of meat.
8861,senset,Chisel. (Primary stress is on the last syllable)
8862,sensia,Character; sense; denoting quality or character of a person.
8863,sensiyu,Coins (money); loose change.
8864,sensiyu,Easy going; affable; carefree.
8865,sensiyu,Only one; single.
8866,sensiyu,adjective. without undershirt or slip; 
8867,sensiyu,adjective. chaste; pure.
8868,senso,Censor; take a census.
8869,senso,Censorship; census; censer.
8870,sensoru,"Censor; faultfinder; adverse critic; anofficial empowered to examine written or printed matter, motion pictures, etc., in order to forbid publication if objectionable."
8871,sensura,verb. to censor; examine; expurgate; inspect; review; oversee. (Saipan)
8872,sensuradot,Censor; one who takes census. (Saipan)
8873,sentåbu,Cent; one hundredth.
8874,sentåda,Meal; banquet; snack; dinner table; meal-time.
8875,sentensia,Sentence; statement; speech.
8876,sentensia,Judgement; decision; penalty; sentence.
8877,sentensiadot,"Referee; one who determines the winner, as in boxing or cockfighting. (Primary stress is on the last syllable)"
8878,sentidu,Sensitive; susceptible; touchy. Also sientidu.
8879,sentidu,Temple--on the side of the head.
8880,sentimento,Sentiment.
8881,sentimiento,Regret; sorrow; sentiment; feeling. Also sentimento.
8882,sentimos,noun. cent; penny. 
8883,sentinåt,Sentinel. (Primary stress is on the last syllable)
8884,sentro,Center; core; middle; nucleus.
8885,senñåla,Earmark; designate.
8886,Septembre,September.
8887,septimu,Seventh. (Primary stress is on the first syllable)
8888,seputkro,Sepulcher.
8889,seputtura,Cemetery; burial ground.
8890,sera,Maybe; perhaps. (Primary stress is on the last syllable)
8891,sera,Accept; agree to; take willingly; accede to; consent; allow. Also siera.
8892,sera,Bees-wax.
8893,seradura,"Padlock; lock. Also åseradura, seladura."
8894,seremonias,Ceremony; ritual; solemnity; ceremonial.
8895,serenåta,Serenade; evening music in the air.
8896,seroroidu,Celluloid; plexiglass; stiff plastic. (Saipan)
8897,seru,Zero; naught; nothing.
8898,sese,Type of plant--microsorum scolopendria.
8899,sesgao,Diagonal line. (Primary stress is on the last syllable)
8900,sesion,"Session; sitting of court, council, legislature, etc."
8901,sesonyan,"Swamp; marsh; bog. Also sosonyan, sosomyan."
8902,sesse,Delouse.
8903,sesso,Often; frequent; often times; many times.
8904,sessuyi,Often; frequent; often times; many times.
8905,sesyon,Type of fish--siganus spinus (family siganidae). Rabbit fish.
8906,setbe,verb. to serve; to labor as a servant; to render services; to be at someone's disposal; to attend to.
8907,setbente,Servant. Also sitbente.
8908,setbesa,Beer.
8909,setbeyeta,Napkin.
8910,setbisiu,"noun. 1) service; benefit. 2) military duty 3) organization, and its performance, facilitating service."
8911,setlas,Type of plant--citrus grandis. Pomelo
8912,setmon,Sermon; a lecture of ones conduct or duty; homily.
8913,setpente,Serpent. Also setpiente.
8914,setpiente,Serpent. Also setpente.
8915,setro,Scepter.
8916,settifika,Certify; attest; approve; register a letter.
8917,settifikasion,Certification.
8918,settifiku,Certificate; document; diploma.
8919,seyu,Stamp--postage; seal; stamp.
8920,señas,Wink; twinkle; raise the eyebrows as a signal; give signal.
8921,señåt,Sign; signal; symptom. (Primary stress is on the last syllable)
8922,señora,Madam; lady; Mrs.
8923,señorita,Lady--young; miss; woman (single).
8924,señoritu,Gentleman--young; man (single); mister; bachelor.
8925,señot,Sir; mister; gentleman. (Primary stress is on the last syllable)
8926,si,"Article, used with proper names, but not used for direct address."
8927,si Yu'us ma'åse',noun. (gratitude) 1. Thank you. 2. Thanks. 
8928,si'eng,Crowd in; elbow ones way in a crowd; squeeze together--to let someone sit down.
8929,si'i,"Type of tool, for preparing weaving materials, usually made of metal sheet, cut out in a triangular shape with sharp edges."
8930,si'ok,"Stab. Also siok, sihok."
8931,siåkåsu,Perhaps; in case.
8932,siåmo',Type of chicken--resembling red pyle game. (Saipan)
8933,sibåda,Barley; millet.
8934,sibilisa,Civilize; eduate; inform of civilized ways.
8935,sibilisasion,Civilization; race or national culture; degree of cultivation; state of refinement.
8936,sibit,Civilian; non-military person; private person. (Primary stress is on the last syllable)
8937,siboyas,Type of plant--allium cepa. Onion (generic).
8938,siboyas hålomtåno',"Type of plant--calanthe, bulbophyllum, luisia, etc. Orchid."
8939,sibu,Metal liner for hub of wagon wheel.
8940,sibukao,Type of plant--caesalpinia sappan. A kind of tree. (Primary stress is on the last syllable)
8941,sidan,Sedan; car; automobile; vehicle. (Primary stress on the last syllable)
8942,siempre,Surely; certainly; definitely. Future marker indicating strong determination.  Also sempre.
8943,siemprebiba,Type of plant--commelina diffusa. Spider wort. A type of grass.
8944,sien,Hundred.
8945,sien mit,One hundred thousand.
8946,sienkåsu,"If; in case. Also åkåsu, enkåsu."
8947,siente,Feel; perceive by sensation; grope; sense.
8948,siento,One hundred. 
8949,siento I unu,One-hundred one.
8950,siera,Maybe; perhaps. (Primary stress is on the last syllable)
8951,siesta,Nap--afternoon; take a nap; sleep; rest.
8952,sietbe,Serve; act as a servant; work for; be in the service of. (Rota) Also setbe.
8953,sietbo,Servent; serf--of God. Used only in prayers.
8954,siete,Seven.
8955,sigåriyu,noun. cigarette.
8956,sigen,Go by way of. Also esgen.
8957,sigi,Go on; advance; continue; forward.
8958,sigi mo'na,Advance; go ahead.
8959,sigidas,Hurry; move quickly; in double-quick time; move with rapidity; fast; quick. Also insigidas.
8960,sigidiyas,Type of plant--psophocarpus tetragonolobus. Wing bean.
8961,sigidu,Successive; consecutive; successively; rounds.
8962,sigiente,Following; succeding; successive; sequential; that is now to follow.
8963,sigilu,In succession. Also sigidu.
8964,sigun,Depends upon; according to. (Primary stress is on the last syllable)
8965,sigunda,Second--measurement of time.
8966,sigundåyi,Second--a motion; support a statement which is delivered; assist; aid; remedy.
8967,sigundåyi,Sing alto; play alto part of a song.
8968,sigundo,Second.
8969,sigundon,Second from; next to--refers to age.
8970,siguråmente,Certainly.
8971,sigurida,Certainty; security.
8972,siguru,Sure; certain; positive; cocksure; authentic; definite.
8973,siha,"They--intransitive subject pronoun, transitive object pronoun, emphatic pronoun."
8974,siha,Plural marker for countable nouns.
8975,sihek,"Type of bird--halcyon cinnamomina. Micronesian kingfisher, blue and rust."
8976,sihek,"Type of fish--scolpsis cancellatus (family lutjanidae). Snappers. Also includes members of the families apigonidae, holocentridae."
8977,sihok,"Stab; pierce--with a pointed weapon; thrust (a knift, etc.). (Rota) Also si'ok."
8978,sikat,Creep; stalk; still-hunt; move furtively or slinkingly; sneak; steal (so as to be unobserved).
8979,sikat,Nod; nodding; act of nodding; make a downward motion of the head involutarily because of drowsiness.
8980,sikat,"Preparing cocks to fight int eh arena. The cocks are held, allowed to peck at eachother, then are placed on the ground and held by the tail feathers while they begin to scratch, rais the neck feathers and bob their heads up and down."
8981,sikera,At least. Also sikiera.
8982,sikiera,At least. Also sikera.
8983,siklo,Century; period (of time); epoch.
8984,siknifika,Signify; symbolize; indicate; manifest.
8985,siknifikånte,Significant; significative.
8986,siknifikåsion,noun. 1) significance; importance. 2) signification; an exact meaning.
8987,sikno,Signal.
8988,sikretu,Secret; detective.
8989,sikumstånsia,Circumstance; situation; position; state; predicament; condition. 
8990,silåba,Syllable. (Primary stress on the first syllable)
8991,silebra,Celebrate; glorify; praise; honor; be glad.
8992,silebråsion,Celebration; glorification.
8993,sileksion,Selection; choice.
8994,silensio,Silence; quiet; hush; be silent; shut up; hold your tongue.
8995,silindro,Cylinder.
8996,silisiu,Vestment--priests'.
8997,silok,Visit excessively; visit someone else often enough to become a nuisance; mooch food; to eat someone else's food; referes to birds that eat freshly sown seeds; bothersome.
8998,simåna,Week.
8999,simåna sånta,Holy week.
9000,simbålu,Cymbal. (Primary stress is on the first syllable)
9001,simbålu,Symbol. (Primary stress is on the first syllable)
9002,simenterera,Farmer; peasant; one who works on the farm (female).
9003,simentereru,Farmer; peasant; one who works on the farm (male).
9004,simenteyu,Cemetery; burial ground; churchyard. Also simenteyu.
9005,simento,Cement.
9006,simetrikåt,Symmetrical. (Primary stress is on the last syllable)
9007,simiento,Foundation; cement.
9008,siminåriu,Seminarian; one who studies for priesthood.
9009,simiya,noun. seed (agriculture); progeny; seedling; bud; any propagative portion of a plant.
9010,simpeng,Brand new; new (article). (Saipan)
9011,sin,Without; except; not; excluding; bare.
9012,sin,Tin; corrugated metal used for roofing; roof; zinc.
9013,sin enao,Notwithstanding; regardless.
9014,sin laso',phrase. without pants; partly naked male person without any clothes on from the waist down. (Saipan)
9015,sin mågågu,Naked; without clothes.
9016,sin påråt,Incessently; without stopping; persistently. (Primary stress of påråt is on the last syllable)
9017,sina'pet,Exhaustion; toilsome; torture; agony of mind or body.
9018,sinågoga,Synagogue.
9019,sinagu,A person suffering from influenza; one who has influenza.
9020,sinague',Protection; guard.
9021,sinahguan,Contents.
9022,sinahi,Crescent moon.
9023,Sinajaña,Village in central Guam. Pronounced Sinåhåña.
9024,sinamomu,Type of plant--lawsonia intermis. A type of flower.
9025,sinangan,Statement; speech; recitation; narrative; quotation; passage from some author or speaker; story.
9026,sinantusan,Saint; holy person; believer; pietist; religious.
9027,sinaolak,Spanking; whipping.
9028,Sinapalu,Name for a place on Rota where the airfield is located.
9029,sinasålåguan,Fiendish; hellish.
9030,sindålu,noun.a soldier; warrior.
9031,sindogga,Barefoot; go barefoot. Litterally: without shoes.
9032,sine'se',Thrust; stab.
9033,sine'so',Copra; coconut meat (ripe)--taken from its shell.
9034,sinembåtgo,Nevertheless; still; yet.
9035,sinetnan,"Boiled food (starchy)--such as taro, yam, and breadfruit."
9036,sinetsot,Repentance.
9037,singao,Surfeit; sick from repetition; satiate; cause to be fed up.
9038,Singgåpot,Singapore. Also Singgåpoa. (Primary stress is on the last syllable)
9039,sini,Place in; put into.
9040,siniåbi,Gentleness; mildness; meekness.
9041,sinibi,Improvement.
9042,siniente,Touch; perception.
