0,1,2,3,4,5
 Komu humanao yo' para Hawaii bai hu bisita iya Waikiki. ,If I go  to Hawaii I will visit Waikiki,,,,
 Kon sigi gi hinanao-mu. ,Keep on with your journey,,,,
 Kon patte i guinaha-mu yan hami. ,Share your wealth with us,,,,
 Sangani yo' kon tiempo. ,Tell us ahead of time,,,,
 Kon petmisu. ,With permission,,,,
 Hu konfesat i isao-hu todu. ,I confessed all my sins,,,,
 Kumonfesat yo' as pale'. ,I confessed to the priest,,,,
 Taya' konfiansa-ña giya guiya. ,He doesn't have any confidence  in himself,,,,
 I publiku ma konfotma i mahatsan i apas i hanom. ,The public  conformed to the increase of the water tax,,,,
 I estudiante siha ma konfotma i lain i eskuela. ,The students  conformed to the school rules,,,,
 I amigu-hu konfotme na bai in hanao asta i lanchon-mami. ,My  friend agreed that we will go to our ranch,,,,
 Ha konne' i guihan. ,He caught the fish,,,,
 Konne' i patgon para i eskuela. ,Take the child to the school,,,,
 Hu konne' i amigu-hu para i programa. ,I took my friend to the  program,,,,
 Konne' i neni para patgon-mu. ,Adopt the baby for your own,,,,
 Hu konne' i mannok ni kannai-hu. ,I seized the chicken with my  hand,,,,
 Konosidu na umisao hao. ,It is recognizable that you committed a  sin. Also &kunisidu,,,,
 Ha konsiente yo' si nana umegga' movie. ,Mother consented for me  to see a movie,,,,
 Hu konsigi i hinanao-hu. ,I continued my journey,,,,
 Konsiste gi as nana-hu kao bai hu fatto pat ahe'. ,It depends on  my mother whether I will come or not,,,,
 Ha na'gaikonsuelu yo' si tata-hu. ,My father gave me consolation,,,,
 Makonsuma bulan nenkanno' gi gipot. ,There was lots of food being  consumed at the party,,,,
 Hu konsuma tres chada' gi sentada-hu. ,I consumed three eggs at  my meal,,,,
 Si Jeff ha kontesta i katta-mu. ,Jeff replied to your letter,,,,
 Sangani yo' kontiempo hafa planu-mu. ,Tell me ahead of time what  your plan is,,,,
 Humanao si Jose kontodu si Juan. ,Joseph left and so did John,,,,
 Malingu i lepblo-ku kontodu i lapes-hu. ,My book was lost and so  was my pencil,,,,
 Humanao yo' yan i lalahi kontodu si Joe. ,"I went with the boys,  including Joe",,,,
 Mata'chong yo' kontra i liga. ,I sat against the wall,,,,
 Inalulula yo' ya hu kokontra i tiempo. ,I'm in a hurry against  time,,,,
 Hu kororot i mannok. ,I called the chickens,,,,
 Na'i yo' lapes kosa ki siña yo' mangge' gi eskuela. ,Give me a  pencil so that I can write at school,,,,
 Kostat papet ,'paper bag.',,,,
 Humanao para u fana' i kreadot-ña. ,He went to meet his creator,,,,
 Kriada ,(f). Cf. &Muchachu,,,,
 Maolek kriansa-ku giya guiya. ,My treatment of him was good,,,,
 Mampos kruet na taotao. ,He's a very cruel man,,,,
 Hu kuadra yo' para mumu. ,I prepared myself for a fight,,,,
 Kuando beses chetnudan lao ti mamasga. ,Many times he had an  injury but he never learned his lesson,,,,
 Kuanto bi'ahi? ,How many times? Kuanto bali-ña? ,How much does  it cost? Kuanto na chada' kinanno'-mu? ,How many eggs did you eat?,,
 Hu pripara i che'cho'-hu kuanto antes. ,I prepared my work ahead  of time,,,,
 Kuanto antes na hu chocho'gue este para hagu ya taya' hafa  ilelek-mu. ,I have been doing this for you many times before and you  didn't say anything,,,,
 Kuantos tiempo? ,How long? Kuantos a$nos hao? ,How old are you?,,,
 Kuastaria ya sumaonao hao gi huegu siempre mas bumunitu i  programa. ,"Especially, if you join the play, the program will surely  be nice",,,,
 Kuatkuera giya hamyo siña dumalak yo'. ,Any one of you can  follow me,,,,
 Kuatkuet manera. ,"Any manner, Any way",,,,
 Kuatkuet ora. ,"Any time, any hour",,,,
 Kuatkuet lugat. ,Any place,,,,
 Kuatkuet na taotao. ,No matter what person,,,,
 Un kuatta patte. ,One-fourth part,,,,
 Adahi ha' na hu kuattasu hao. ,Look out or I will whip you,,,,
 Kubietto i chandia gi gualo'. ,The watermelons were abundant at  the farm,,,,
 Hu kubre hao gi nisisidat-mu. ,I helped you with your needs,,,,
 Ha kubre todu iya Guam. ,He traveled all over Guam,,,,
 Kuentan Thomas yo'. ,I am Tommy's replacement,,,,
 Kuentat ki hagu drumadraiba trankikilu ha' yo'. ,"So long as you  are driving, I am tranquil",,,,
 Hu kuentayi hao gi bola. ,I substituted for you in the ball game,,,,
 Kulang lepblo-ku enao. ,That looks like my book,,,,
 Kulu yo' gi fila. ,I was last in the line,,,,
 Kumadu i hineksa' gi feggon. ,The rice was scorched on the stove,,,,
 Kumason i gima'. ,The house burned down,,,,
 Hu li'e' i kimason gi siuda. ,I saw the conflagration in the city,,,,
 Kumeke macho'cho' yo'. ,I'm about to begin to work,,,,
 Kumeke mangge' gue'. ,He is about to start to write,,,,
 Hafa kumeke ilek-ña? ,"What does it mean?, What is he trying to  say?",,,,
 Kumekematai i sasata gi halom i taru. ,The bee is dying inside  the jar,,,,
 Kumematai i guaka gi pastai. ,The cow was about to die in the  pasture,,,,
 I gima'-hu nai para u guaha kumida. ,It is at my house where the  eating will take place,,,,
 Esta oran kumida. ,It is time to eat,,,,
 Hu kumple i che'cho'-hu. ,I am done with my work,,,,
 Otro na sakkan bai hu kumple sinkuenta a$nos. ,Next year I will  have completed my fifty years,,,,
 Basta kumarahi. ,That's enough temper tantrum,,,,
 Lamaolek siniente-ku. ,I feel slightly better,,,,
 Labunitu i gima'-mu anai un penta. ,Your house became prettier  when you painted it,,,,
 Hu na'la'ancho i chalan. ,I made the road a little wider,,,,
 Esta la'apman yo' guini giya Guam. ,I have been here on Guam for  quite sometime already,,,,
 Hu lachai kumanno' i na'-mu. ,I ate all your food,,,,
 Malachai i pigas siha manmabende gi tenda. ,All the rice at the  store was sold out,,,,
 Lachi si Juan. ,John was wrong,,,,
 Hu li'e' i la'chok na flores. ,I saw the flower sprout,,,,
 Ladagu yo' nigap anai ha agang yo' si Kiko'. ,I went north  yesterday when Kiko' called me,,,,
 Hu lagas i addeng-hu gi inai. ,I rubbed my feet on the sand,,,,
 Lumagas yo' gi gua'ot. ,I slipped on the steps,,,,
 Lage'fe'na gi fila. ,Move further up the line,,,,
 Lahattaya. ,Farther south. Cf. &Haya. Lahattichan. ,Farther west.  Cf. &Luchan,,,
 Lahattilo'. ,"Farther up, higher. Cf. &Hulo'",,,,
 Lahattalom. ,Farther in. Cf. &Halom,,,,
 Lahatfe'na. ,Farther front. Cf. &Mo'na,,,,
 Lahattatte. ,Farther back. Cf. &Tatte. ,"Further--a little,  more--a little, further--a little bit, more--a little bit, a  combination of two prefixes, la- ","a little (bit), and hat-  ",further or more. Cf. &Lage'-,
 Lahen Jose si David. ,David is the son of Joseph,,,,
" Basta di lumailai, espiha che'cho'-mu. ","Stop loitering around, go  look for some work",,,,
 Ha laisen i enemigu-ña. ,He avoided his enemy,,,,
 I binadu ha laisen i ga'lagu. ,The deer avoided the dog,,,,
 Guaha papet ti ha laknos. ,There was a paper he did not put forth,,,,
 Lumalacha' i patgon gi fache'. ,The child slid in the mud,,,,
 Nihi ta fanlalai. ,Let's all sing,,,,
 La- ,plus lima.,,,,
 Lame' dei na inande' hao. ,"Gosh, you certainly are a flirt",,,,
 Munga mana'lamen i patgon. ,Don't harm the child,,,,
 Ha na'lamen yo' si Juan. ,John hurt me,,,,
 Na'i yo' lamita. ,Give me half,,,,
 Lamita sopbla gi boteya pa'go. ,There is half left in the bottle  now,,,,
 Lammok i matai cha'ka gi chalan. ,The dead rat on the road stunk,,,,
 I lancheru ha la'mok i lassas binadu. ,The farmer skinned the  deer,,,,
 La'mon yo' giya Saipan. ,I am very familar with Saipan,,,,
 Lamudong i tinanom-hu flores. ,The flowers that I transplanted  grew bigger,,,,
 Lannan si Jose gi maigo'-ña. ,Joseph snored in his sleep,,,,
 Lannan hao gi painge. ,You snored last night,,,,
 Ha langak yo' i patgon humatsa. ,The child was strong enough to  lift me,,,,
 I sapatos-hu ha langak sumungon yo' kasi dos meses ta'lo. ,My  shoes can last me maybe two more months,,,,
 Ha langak sumungon todu i piniti-ña. ,He can withstand all of  his suffering,,,,
 Goflangat i tasi despues di i pakyo. ,The waves were big after  the typhoon,,,,
 Basta di lumangnga'. ,Stop holding your mouth open,,,,
 I peskadores ma langse i chenchulu tres bi'ahi. ,The fishermen  set the fishing net in position three times,,,,
 Puno' lao debidi un kanno'. ,"Kill it, but you must eat it",,,,
 Laolao yo' anai ha go'te yo' i elektrisida. ,I shook when I  received the electric shock,,,,
 Lumaoya yo' gi siuda. ,I strolled in the city,,,,
 Bunitu malapbla-ña i magagu-mu. ,Your dress has a nice zig-zag  cut,,,,
 Ha lapbla i papet siha. ,He zig-zag cut the papers,,,,
" Las kuatro, ","Four o'clock, or Alas kuatro, ",Four o'clock,,,
 La una ,"One o'clock, or Ala una, ",One o'clock,,,
 Hu lasgue i hayu. ,I carved the wood,,,,
 I estudiante ha lasgue i lapes-ña. ,The student sharpened his  pencil,,,,
 Hu lassas i mangga. ,I peeled the mango,,,,
 Lastima i tinanom-hu gi gualo' sa' manyinamak ni pakyo. ,My crops  were of no use because the typhoon destroyed them,,,,
 Latdon i kuatto. ,The room was filled with flies,,,,
 Fotte i latigu-ña si tata-hu. ,My father's spanking is hard,,,,
 Lattanao guini. ,Get away from here,,,,
 Esta latto' chetnot-ña. ,His wound is healing,,,,
 Ya-hu pastet la'yiyi yanggen lemon. ,"I like pie, especially if it  is lemon",,,,
 Hu na'layo' si Maria. ,I hurt Maria's feelings,,,,
 Lechera i ga'-hu guaka. ,My cow has lots of milk,,,,
 Hu leklek i patgon guatu asta as nana-ña. ,I guided the child  there to his mother,,,,
 Leklek magi i taotao siha. ,Direct the people here,,,,
 Basta di lume'le'. ,Stop kidding,,,,
 Ombre un le'le' hao. ,You must be kidding,,,,
 Iya Guam ha lemlem yo' pot i matulaika-ña. ,Guam surprised me  because of its changes,,,,
 Brabu yo' manlempiesa. ,I work hard cleaning,,,,
 Hu lempiesa i uriyan guma'. ,I cleaned around the house,,,,
 Letke i fache'. ,Get away from the mud,,,,
 Ha letke yo' gi gipot. ,She avoided me at the party,,,,
 I famagu'on ma libette siha gi plasa. ,The children relaxed at  the plaza,,,,
 Li'e' ,plus -on ,(abilitative suffix),,,
 Lumiheng gue' gi kareta anai uchan. ,He sheltered himself in the  car when it rained,,,,
 Hu liles i patgon. ,I fathered the child,,,,
 Ya-hu na hu limangga i manggas chinina-hu. ,I like to tuck up my  shirt sleeve,,,,
 I sapateru ha limenda i sapatos-hu. ,The shoemaker patched my  shoes,,,,
 Ha rega i lina'chok i simiya. ,He sprinkled the sprouting  seedlings,,,,
 Maolek ha' linahyan-ña gi miteng. ,It was quite a crowd at the  meeting,,,,
 Maigo' yo' gi halom linahyan taotao. ,I fell asleep in the middle  of the group of people,,,,
 Debi u maprotehi i lina'la' i taotao. ,The life of the people  must be protected,,,,
 I linihan-hu kanna' pumuno' yo'. ,My fear almost got me killed,,,,
 Dalalaki i liña. ,Follow the line,,,,
 Hu dommo' i lamasa pot para bai hu lipa i binibu-hu. ,I hit the  table in order to let off steam,,,,
 Hu liti i gimen-hu kafe. ,I stirred my coffee,,,,
 Hu liti i asukat yan i leche gi gimen-hu. ,I mixed the sugar with  the milk in my drink,,,,
 I ma'gas ha litira i famagu'on. ,The boss dismissed the children,,,,
 Esta oran litirada. ,It's quitting time,,,,
 Lodichan siha sesso. ,They often went west,,,,
 Hu lotge i basu-hu ni setbesa. ,I filled up my cup with beer,,,,
 Ha lotge yo' setbesa. ,He filled me up with beer,,,,
 Hanao fanlotge hanom. ,Go fetch water,,,,
 Ma'pos gue' luchan. ,He went west,,,,
 Taya' lugat-hu. ,I don't have any spare time now,,,,
 Luhuriosu na taotao. ,The man is a playboy,,,,
 Lumukao yo'. ,I was at the procession,,,,
 Humanao gue' para i likao. ,He went to the procession,,,,
 Lumalayak i boti. ,The boat is sailing,,,,
 Hu na'layak i boti. ,I sailed the boat,,,,
 Hu lusu i lasu gi aga'ga' i guaka. ,I released the lasso on the  cow's neck,,,,
 Macho'cho yo'. ,I worked,,,,
 Mata'chong yo'. ,I sat down,,,,
 I palao'an ha na'ma'agoddai si Badu. ,The girl made Badu excited  (or angry),,,,
 Ma'arimata i kampana. ,The last church bell rang,,,,
 Ma'ase' i lahi. ,The man has mercy,,,,
 I ma'estro ma'ase' ni patgon. ,The teacher had sympathy for the  child,,,,
 Hu respeta i mina'ase'. ,I respect forgiveness,,,,
 Mabende i kareta-hu. ,My car was sold,,,,
 Mabira i batko. ,The boat was turned around,,,,
 Machaba' i patgon gi lamasa. ,The child cut his lip on the table,,,,
 Todu machaflakos hao. ,You're getting wrinkled,,,,
 Machalonchon i magagu-hu. ,My clothes were messed up,,,,
 Hu na'maddok i papet. ,I made a hole in my paper,,,,
 Humalom i cha'ka gi maddok hayu. ,The rat went inside the hole of  the tree,,,,
 Mafañagu yo' giya Saipan. ,I was born in Saipan,,,,
 Pa'go mafañagu-hu. ,Today is my birthday,,,,
 Maffak i basu anai poddong gi lamasa. ,The cup was broken when it  fell off the table,,,,
 Mafondo i batko. ,The ship sank,,,,
 Mafondo i addeng-hu gi fache'. ,My feet sank in the mud,,,,
 Manosge i patgon gi as nana-ña mafongfong. ,The child takes  after her mother's pug-nose,,,,
 Maga i ichan. ,The rain came early,,,,
 Magahet yo' na hu espiha hao gi eskuela. ,I am truthful that I  looked for you at school,,,,
 Magahet na maolek hao bumola. ,"Indeed, you are a good ball player",,,,
 magi,,,,,
 I pilan gaige gi magen i atdao. ,The moon is on this side of the  sun,,,,
 I kareta-hu magen i kareta-mu. ,My car is on this side of your  car,,,,
 Chule' magi. ,Bring it here,,,,
 Espiha guini magi. ,Look for it over here,,,,
 Magomgom i sanhalom-ña. ,He has internal injuries,,,,
 Magong i chetnot gi addeng-hu. ,The wound on my foot is healed,,,,
 Mahahagga' i taotao. ,The man is bleeding,,,,
 Hu na'maheffong i lapes-mu. ,I caused your pencil to have a dull  point,,,,
 Maheffong i kareta-ña nigap. ,His car was dented yesterday,,,,
 Maheffong i gui'eng-mu. ,You have a flat nose,,,,
 Todu esta manmahgong. ,Everything is peaceful,,,,
 Mahlok i haguha. ,The needle was broken,,,,
 Mahlok i maprensan magagu-hu. ,My pressed clothes were wrinkled,,,,
 Mahñao gue' gi biahi-ña para Hawaii. ,He canceled his trip to  Hawaii,,,,
 Mahngang yo' anai un pacha i apaga-hu. ,I was startled when you  touched me on the shoulder,,,,
 Maila'. ,Come (to me),,,,
 Maila' i salape'. ,Hand over the money,,,,
 Maipe na ha'ani. ,It's a hot day,,,,
 Guiya na maisa humanao. ,He went by himself,,,,
 Mak$no' yo' gi fache'. ,I sank in the mud,,,,
 Maktos i tali. ,The rope snapped,,,,
 Makuttinayi i petta. ,The door has a curtain on it,,,,
 Todu enao mala bida-ña. ,All those are his wrong doings,,,,
 Hu suspecha na mala intension-ña. ,I suspected his evil  intentions,,,,
 Malago' gue' humanao. ,He wants to go,,,,
 I minalago'-ña para humanao. ,He wants to go,,,,
 Malago' yo' malak Honolulu. ,I want to go to Honolulu,,,,
 Malak Honolulu yo'. ,I went to Honolulu. ,,,,
 Malaktos mata-ña i profesot. ,The professor's face is very stern,,,,
 I lahi ti siña ha dingu i asagua-ña na maisa sa' mampos  malaktos inigo'-ña. ,The man cannot leave his wife alone because of  his severe jealousy,,,,
 Munga yo' malakuenta. ,I don't want to be held responsible,,,,
 Malate' i abugao. ,The lawyer is smart,,,,
 Malatte' i chetnot-hu. ,My sore was scabbed,,,,
 Maleffa yo' ni lepblo. ,I forgot the book,,,,
 Maleffa i patgon ni lepblo. ,The child forgot the book,,,,
 I malingu na taotao. ,The lost man,,,,
 Ha na'falingu i ga'lagu. ,He lost the dog,,,,
 Maloffan yo' yayas. ,I am excessively tired,,,,
 Maloffan i patgon aguaguat. ,The child is immeasurably naughty,,,,
 Maloffan hao tonto. ,You are extremely foolish,,,,
 Siempre maloria hao. ,You are going to be spanked,,,,
 Malulok yo' gumimen kok gi gipot. ,I had as much coke as I wanted  to drink at the party,,,,
 Si Pete malulok chumocho mangga. ,Pete had eaten his fill of  mangoes,,,,
 Mama'kaddo i batatas. ,The potatoes became liquid,,,,
 Mama'hanom i asukat. ,The sugar turned into a liquid,,,,
 Mamaila' si Jose gi gima'. ,Jose came to the house,,,,
 Mamaisen yo' infotmasion pot Hawaii. ,I asked for information  about Hawaii,,,,
 Bula mama'on giya Luta. ,There are lots of betel nut with its  ingredients in Rota,,,,
 Mamatkilu i estudiante gi klas. ,The student was quiet in class,,,,
 Mamatkilu si Juan anai humalom i ma'estro gi klas. ,John was  silent when the teacher went inside the class,,,,
 Karetan-mami este. ,This is our car,,,,
 Po'lo gi anai mampo'lo. ,Put it in its usual place,,,,
 Mamulan yo' gi espitat gi painge. ,I kept vigil at the hospital  last night,,,,
 Ya-hu manespiha sidan-hu giya Guam. ,I like to look for a sedan  for my own on Guam,,,,
 Yan-$niha na u fandraiba kareta. ,They like to drive a car,,,,
 Mana'maigo' i neni gi kuna. ,The baby was made to sleep in the  crib,,,,
 Guahu mana'taitai ni gaseta. ,I was the one who was made to read  the newspaper,,,,
 Mutero' i bulacheru manadan setbesa. ,The drunkard had too much  beer,,,,
 Mana'huyong i taotao ginen i taya'. ,Man was created from nothing,,,,
 Mana'huyong tinago' na taya' taotao siña pumeska binadu. ,The  order was given out that nobody was allowed to hunt deer,,,,
 Manaihanom ham gi lancho. ,We don't have any water at the ranch,,,,
 Mana'payon mahoggue i neni. ,They caused the baby to want to be  carried habitually,,,,
 Guahu pa'go mando gi gima'. ,I am now the authority at the house,,,,
 Hayi mando gi che'cho'-miyu? ,Who is the authority at your work?,,,,
 Manhale' i niyok. ,The coconut grows roots,,,,
 Manila' i kandet. ,The light was on,,,,
 I duranten i gera anai manko i kannai-hu. ,It was during the war  when my hand was amputated,,,,
 Manu mas ya-mu na lugat? ,Which place do you like the best?,,,,
 Manu nai sumasaga hao? ,Where are you staying?,,,,
 Mañada' i mannok. ,The chicken laid eggs,,,,
 Mañagu yo'. ,I gave birth,,,,
 Mañague' i lahi-hu anai tres meses i idat-ña. ,My son had a  convulsion when he was three months old,,,,
 Ma$nila' i gima'. ,The house is in flames,,,,
 Ma'lak na ma$nila'. ,It is a brilliant glare,,,,
 Ma$nila' i chetnot-hu. ,My wound is inflamed,,,,
 Ma$nom yo'. ,I have a cold,,,,
 Ma$nongson yo' maddok. ,I plugged up the hole,,,,
 Mangekeñangu hit. ,We are about to swim,,,,
 Hafa mangeke'ilek-$niha? ,What are they trying to say?,,,,
 Mangge i kareta? ,Where is the car?,,,,
 Hu na'mangto' ngumangas i na'-hu ni nifen-hu. ,I pulverized my  food with my teeth by chewing,,,,
 Maolekña na un facho'cho' kinu un bulachu. ,It is better that  you work than for you to get drunk,,,,
 Maolekña bai hu hanao para Saipan. ,I had better go to Saipan,,,,
 Mapao i buruka. ,The noise quieted down,,,,
 Mapedde i taotao gi aposta-ña. ,The man lost in his bet,,,,
 Mapgao i inetnon fanihi gi ladera. ,The flock of bats scattered  on the mountain,,,,
 Ma'pos na simana. ,Last week,,,,
 Ma'pos para Hawaii. ,He went to Hawaii,,,,
 Ma'posña na simana. ,Two weeks ago,,,,
 Mappa i ligan guma'. ,The wall became detached from the house,,,,
 Mappa i tampen lepblo. ,The cover of the book came off,,,,
 Mappla' i ga'lagu gi magodde-ña. ,The dog got loose from its  rope,,,,
 I deskalentao na chada' ti siña mapulakes. ,The spoiled egg  cannot be hatched,,,,
 I mas bunita na palao'an. ,The prettiest girl,,,,
 Guaguan-ña i lepblo-ku mas di i lepblo-mu. ,My book is more  expensive than your book,,,,
 Metgot-ña i kabayu mas ki i ga'lagu. ,The horse is stronger than  the dog,,,,
 Bai hu na'i hao mas ki i malago'-mu. ,I will give you more than  you need,,,,
 Ya-hu i masa na papaya. ,I like ripe papaya,,,,
 masa ,'ripe' halom ,'inside',,,
 Masangan na humanao hao asta Amerika. ,It was said that you went  to America,,,,
" Maseha manu giya siha, todu manmaolek. ","Any one of them, they are  all good",,,,
 Na'mabakuna hao maseha ti ya-mu. ,"Let yourself be vaccinated,  even though you don't like it",,,,
 Maseha baratu pat guaguan na kareta. ,Either an expensive or  cheap car,,,,
 Maseha kuanto. ,"Any amount, quantity, number, etc",,,,
" Maseha hayi un sodda' guenao gi gima', konne' magi. ","Anyone you  find there at home, bring him here",,,,
" Maseha manu malago'-mu nai ta asodda', maolek ha' para guahu.  ","Anywhere you want us to meet, it is all right with me",,,,
 Maseha ngai'an fafatto ya un bisita yo'. ,"Anytime, come and visit  me",,,,
 Maseha taimanu malago'-mu. ,Anyway you want it to be,,,,
 Masge' yo' gi magodde-ku. ,I slipped away from my bonds,,,,
 Nina'ye si Joaquin masisinek haga'. ,Joaquin has dysentery,,,,
 Masisu i katne ni finahan-hu gi tenda. ,The meat that I bought  from the store was fleshy,,,,
 Bunita maskaran matan Maria. ,Maria has a nice face shape,,,,
 Maske' i magagu gi malakse-ña. ,The material slipped away during  my sewing,,,,
 Maskeseha ti un tungo' i taotao ayuda ha'. ,"Although you don't  know the man, help him",,,,
 Ha na'massa' yo' i haga'. ,The blood made me nauseated,,,,
 Matan chotda. ,Place where banana is planted,,,,
 Mata'chong yo' gi siya. ,I sat on the chair,,,,
 Matai i ga'-hu ga'lagu nigap. ,My pet dog died yesterday,,,,
 I matai mahafot gi simenteyu. ,The corpse was buried at the  cemetery,,,,
 Matalek i guaka gi magodde-ña. ,The cow was entangled in its  tether,,,,
 Ma'te i tasi. ,The sea is at low tide,,,,
 Ma'teng i sinturon-ña. ,His belt broke,,,,
 Ma'teng i tinekcha'-ña i papaya. ,The papaya fruit broke off  from the tree,,,,
 Ma'teng i dilileng-ña i balakbak. ,The handle of the suitcase  broke,,,,
 Ha na'materialisa i idea-ña anai ha cho'gue. ,He made his idea  materialize when he did it,,,,
 Matgan i batunes gi chinina-hu. ,The button popped off my shirt,,,,
 Matgan i nifen-hu. ,My tooth came out. Contracted form of  matugan. ,Cf. &Tugan,,,
 Hu matka i na'an-hu gi aniyu-hu. ,I engraved my name on my ring,,,,
 Matompo' si Bob gi painge. ,Bob stumbled last night,,,,
 I barankan i chalan muna'matulongtong yo'. ,The bumpy condition  of the road caused me to be jolted,,,,
 Matulongtong yo' gi kareta. ,I was jolted in the car,,,,
 Mama'ya ha' i hinasso-ku. ,My thoughts are wandering,,,,
 Maya' i inatan-hu. ,My eyesight is blurred,,,,
 Maya' i tano'. ,The world is obscured,,,,
 Mayulang i makinan boti. ,The outboard motor is broken,,,,
 Mediu di hagu. ,For your sake,,,,
 Meggaiña iyo-ku ki iyo-mu. ,I have more than you have,,,,
 Gaige gi me'nan i siya i sapatos. ,The shoes are in front of the  chair,,,,
" Me'nan Yu'us, ti ume'essitan yo'. ","Honestly, I'm not kidding",,,,
 Pumeska yo' nigap ya menha yo'. ,I went fishing yesterday and I  caught a lot,,,,
 Menha si Jose fanihi anai humanao mamaki gi ma'pos na simana.  ,Joseph caught a lot of fruit bats when he went hunting last week,,,,
 Menhalom hao. ,You are intelligent,,,,
 Mas menos na'-hu kinu na'-mu. ,I have much less food than you do,,,,
 Hafa na menggua i pine'lo-ku. ,Why did the things I put there  become less,,,,
 Hayi muna'menggua i chipa-hu. ,Who caused my cigarettes to become  fewer,,,,
 Gofadahi na umenggua i pine'lo-ku. ,Be careful that the things I  put there don't become lessened,,,,
 Meppa' na tronkon mangga este. ,This is a fruitful mango tree,,,,
 Ti meti hao na un ma'erensia. ,You don't deserve your inheritence,,,,
 Metton yo' gi fino'-hu. ,I am certain of my word,,,,
 Metton yo' gi nobia-hu. ,I am attached to my girlfriend,,,,
 Misapatos si Jose. ,Joseph has lots of shoes,,,,
 Mifamagu'on gue'. ,She has lots of children,,,,
 Hu mientra na malangu gue' gi painge. ,I mentioned that he was  sick last night,,,,
 Bai hu chupa mientras hu nanangga hao. ,I will smoke while I am  waiting for you,,,,
 Milagrosu hao na taotao. ,You are a miraculous person,,,,
 Milak i hanom gi tanke. ,The water overflowed from the tank,,,,
 Milak i saddok. ,The river flooded,,,,
 Milak i lago'-ña. ,Her fears flowed,,,,
 Este mina' hu sangani hao. ,This is why I told you,,,,
 Ayu muna' hu sangani hao. ,That is why I told you,,,,
 Mina' ti hu na'ma'agang hao sa' pine'lo-ku na ti un fatto ha'.  ,The reason I didn't have someone call you is that I thought you  would not come anyway,,,,
 Dos. ,Two,,,,
 I mina'dos. ,The second,,,,
 Dosse. ,Twelve,,,,
 I mina'dosse. ,The twelfth.,,,,
 Minagagu ya ta hanao. ,Get dressed and we will leave,,,,
 Kuanto minakkat-mu? ,What is your weight?,,,,
 I mina'ok este na materiat sinko a$nos na garentia. ,The duration  of this material is five years guaranteed,,,,
 Maolek esta mineddong-$niha i tinanom-hu siha para u  fanmatransplanta. ,The size of my plants is good for transplanting  already,,,,
 Maolek minesngon-mu malagu. ,Your endurance in running is good,,,,
 Ministet un lachaddek sinu madingu hit gi gipot. ,You have to  hurry or you will be late for the party,,,,
 Ministet un maigo' sa' esta hao matuhok. ,You have to sleep  because you are already sleepy,,,,
 Miron hao mampos gi che'cho'-mu. ,You are very inattentive to  your work,,,,
 Misen i tasi. ,High tide,,,,
 Misen sisu-ña i baka. ,The cow's udder contains lots of milk,,,,
 Misen sensen-$niha i kamuti-ta. ,Our sweet potato crops are big  and plentiful,,,,
 Guahu mismo sumangani hao ni lugat. ,I personally was the one who  told you about the place,,,,
 Hagu mismo pumacha i guafi. ,You are the very one who touched the  fire,,,,
 Na'-miyu enao. ,That is your food,,,,
 Hu mocha talanga-ña i ga'-hu babui. ,I cut the ear off my pig,,,,
 Nuebu na moda ayu na chinina. ,That is a new fashion of dress,,,,
 Enao na kuentos para mofa ha'. ,Those kinds of words are for  ridicule,,,,
 Hu mohmo i patgon. ,I fed the child (using one's mouth to guide  food to someone's mouth),,,,
 Sumaga mohon gi gima' si Frank asta ki manmatto-hit. ,I wish  Frank would stay at home until we arrive,,,,
 Sumaga yo' mohon giya Agaña. ,"I hope we can stay in Agaña. Or,  I'm looking forward to the chance to stay in Agaña",,,,
 I palao'an ha momye si Maria sa' sinanganñaihon ni mandagi. ,The  girl insulted Maria sharply for her telling lies,,,,
 I ma'estro ha momye ham sa' ti manmanestudia ham. ,The teacher  scolded us for not studying,,,,
 Gaige gue' gi mo'na. ,He is at the front,,,,
 Mo'na hao matto gi che'cho. ,You came first to work,,,,
 Monchon taotao gi gipot gi painge. ,There were plenty of people  at the party last night,,,,
 Ha na'monton i kamuti. ,He heaped up the sweet potatoes,,,,
 Gaige gi moseria. ,Serving as a mosu.,,,,
 Motgan hao gi gipot. ,You had too much fun at the party,,,,
 Motgan ham setbesa. ,We had access to all the beer we wanted,,,,
 Motmot taotao gi kotte. ,The court house was full of people,,,,
 Se$nores muchumas este i taotao distritu numiru dos. ,"Men,  especially those people of district number two",,,,
 Metgot mueyi-ña i trak. ,The spring of the truck is strong,,,,
 Ha mulinu i mai'es. ,He grinds the corn,,,,
 Makkat mabira i mulinu. ,The grinder is hard to turn,,,,
 Mumu yo' nigap. ,I fought yesterday,,,,
 Kao un li'e' i mimu? ,Did you see the fight?,,,,
 Si Juan muna'gasgas i lamasa. ,John is the one who cleaned the  table,,,,
 Munhayan yo' ni lepblo. ,I finished the book,,,,
 Hu na'funhayan tumaitai i lepblo. ,I finished (made myself  finish) reading the book,,,,
 Kao para un hanao pat munga hao? ,Are you going or not? Munga  humanao gi gima'. ,Don't leave the house,,,
 Mutero' i bulacheru manadan setbesa. ,The drunkard had too much  beer,,,,
 Mutero' hao giya Hawaii. ,You had too much fun in Hawaii,,,,
 Komon nina'ye ni minito'-ña taya' siña ta cho'gue. ,"If he is of  that disposition, we can't do anything",,,,
 Mutong gue'. ,He stinks,,,,
 I dankolo na tatotao. ,The big man,,,,
